Text,Openness,Conscientiousness,Extraversion,Agreeableness,Neuroticism,cleaned_text,tokens
I love exploring new cultures through cuisine and travel.,0.7727272727272727,0.5106382978723405,0.7142857142857143,0.6744186046511628,0.4177215189873417,love exploring new cultures cuisine travel,"['love', 'exploring', 'new', 'culture', 'cuisine', 'travel']"
My workspace is always organized; I can't focus in a messy environment.,0.3636363636363636,0.8723404255319148,0.49206349206349204,0.5116279069767442,0.4556962025316455,workspace always organized cant focus messy environment,"['workspace', 'always', 'organized', 'ca', 'focus', 'messy', 'environment']"
Large social gatherings make me feel energized and excited.,0.4090909090909091,0.46808510638297873,0.8888888888888887,0.5813953488372093,0.36708860759493667,large social gatherings make feel energized excited,"['large', 'social', 'gathering', 'make', 'feel', 'energized', 'excited']"
I often worry about things not going as planned.,0.3863636363636363,0.6808510638297872,0.47619047619047616,0.5581395348837209,0.721518987341772,often worry things going planned,"['often', 'worry', 'thing', 'going', 'planned']"
Having a daily routine is comforting and helps me be productive.,0.22727272727272724,0.8297872340425532,0.42857142857142855,0.627906976744186,0.430379746835443,daily routine comforting helps productive,"['daily', 'routine', 'comforting', 'help', 'productive']"
I find fulfillment in helping others with their problems.,0.47727272727272724,0.5531914893617021,0.603174603174603,0.8372093023255813,0.40506329113924044,find fulfillment helping others problems,"['find', 'fulfillment', 'helping', 'others', 'problem']"
Abstract art and avant-garde films usually don't interest me much.,0.09090909090909088,0.5744680851063829,0.5873015873015873,0.4883720930232559,0.4683544303797468,abstract art avantgarde films usually dont interest much,"['abstract', 'art', 'film', 'usually', 'interest', 'much']"
I'm the life of the party and always make new friends at social events.,0.4545454545454544,0.31914893617021284,0.9365079365079365,0.5348837209302325,0.3797468354430379,im life party always make new friends social events,"['life', 'party', 'always', 'make', 'new', 'friend', 'social', 'event']"
Unfamiliar situations make me anxious and uncomfortable.,0.3409090909090909,0.5106382978723405,0.38095238095238093,0.4418604651162791,0.7468354430379747,unfamiliar situations make anxious uncomfortable,"['unfamiliar', 'situation', 'make', 'anxious', 'uncomfortable']"
Empathy and kindness are my guiding principles in life.,0.5227272727272727,0.4893617021276596,0.5396825396825397,0.9069767441860466,0.4177215189873417,empathy kindness guiding principles life,"['empathy', 'kindness', 'guiding', 'principle', 'life']"
I have a keen eye for details that others often overlook.,0.6590909090909092,0.6382978723404256,0.47619047619047616,0.5116279069767442,0.5063291139240506,keen eye details others often overlook,"['keen', 'eye', 'detail', 'others', 'often', 'overlook']"
I'm more of a listener in conversations and prefer intimate gatherings.,0.29545454545454547,0.5957446808510638,0.4444444444444444,0.744186046511628,0.4430379746835442,im listener conversations prefer intimate gatherings,"['listener', 'conversation', 'prefer', 'intimate', 'gathering']"
"Practical solutions and hard facts are my go-to, not theoretical concepts.",0.045454545454545414,0.7659574468085106,0.6507936507936507,0.5348837209302325,0.40506329113924044,practical solutions hard facts goto theoretical concepts,"['practical', 'solution', 'hard', 'fact', 'theoretical', 'concept']"
Networking events are fantastic; I love connecting with new people.,0.49999999999999994,0.36170212765957444,0.9206349206349206,0.627906976744186,0.3544303797468354,networking events fantastic love connecting new people,"['networking', 'event', 'fantastic', 'love', 'connecting', 'new', 'people']"
I feel inexplicably sad more often than I'd like to admit.,0.4318181818181818,0.5319148936170214,0.4603174603174603,0.41860465116279066,0.7088607594936709,feel inexplicably sad often id like admit,"['feel', 'inexplicably', 'sad', 'often', 'like', 'admit']"
"Lifelong learning is a passion of mine, whether it's through books or online courses.",0.7954545454545454,0.6595744680851063,0.5873015873015873,0.6046511627906977,0.4177215189873417,lifelong learning passion mine whether books online courses,"['lifelong', 'learning', 'passion', 'mine', 'whether', 'book', 'online', 'course']"
I follow a strict workflow method to keep my tasks in check and deadlines met.,0.3181818181818182,0.8936170212765958,0.4126984126984127,0.4651162790697675,0.4430379746835442,follow strict workflow method keep tasks check deadlines met,"['follow', 'strict', 'workflow', 'method', 'keep', 'task', 'check', 'deadline', 'met']"
Debating various topics with my friends always feels invigorating.,0.7045454545454546,0.4255319148936171,0.8095238095238094,0.37209302325581395,0.430379746835443,debating various topics friends always feels invigorating,"['debating', 'various', 'topic', 'friend', 'always', 'feel', 'invigorating']"
I avoid confrontations and believe in harmonious resolutions.,0.24999999999999994,0.4893617021276596,0.3968253968253968,0.8604651162790697,0.5443037974683543,avoid confrontations believe harmonious resolutions,"['avoid', 'confrontation', 'believe', 'harmonious', 'resolution']"
Minor hiccups or changes in plans can greatly stress me out.,0.4090909090909091,0.44680851063829785,0.4444444444444444,0.4883720930232559,0.7341772151898733,minor hiccups changes plans greatly stress,"['minor', 'hiccup', 'change', 'plan', 'greatly', 'stress']"
I'm constantly curious about different fields and love interdisciplinary learning.,0.75,0.5744680851063829,0.746031746031746,0.6511627906976744,0.39240506329113917,im constantly curious different fields love interdisciplinary learning,"['constantly', 'curious', 'different', 'field', 'love', 'interdisciplinary', 'learning']"
"I ensure every detail of my project is perfect, even if it requires extra time.",0.3863636363636363,0.851063829787234,0.5238095238095237,0.5348837209302325,0.49367088607594933,ensure every detail project perfect even requires extra time,"['ensure', 'every', 'detail', 'project', 'perfect', 'even', 'requires', 'extra', 'time']"
I thrive in dynamic environments that require interaction and quick thinking.,0.5454545454545454,0.4893617021276596,0.8730158730158729,0.5581395348837209,0.4177215189873417,thrive dynamic environments require interaction quick thinking,"['thrive', 'dynamic', 'environment', 'require', 'interaction', 'quick', 'thinking']"
People often tell me I'm an easygoing and cooperative colleague.,0.4318181818181818,0.5957446808510638,0.6190476190476191,0.7674418604651163,0.3797468354430379,people often tell im easygoing cooperative colleague,"['people', 'often', 'tell', 'easygoing', 'cooperative', 'colleague']"
I tend to stick to my comfort zone and rarely try unfamiliar activities.,0.18181818181818182,0.7234042553191489,0.4603174603174603,0.6046511627906977,0.5696202531645569,tend stick comfort zone rarely try unfamiliar activities,"['tend', 'stick', 'comfort', 'zone', 'rarely', 'try', 'unfamiliar', 'activity']"
"Whenever someone's in distress, I'm the first to step in and offer help.",0.5681818181818181,0.5319148936170214,0.5555555555555556,0.8837209302325582,0.4430379746835442,whenever someones distress im first step offer help,"['whenever', 'someone', 'distress', 'first', 'step', 'offer', 'help']"
I rarely enjoy discussing 'deep' topics like philosophy or metaphysics.,0.1363636363636363,0.6170212765957447,0.603174603174603,0.4651162790697675,0.5189873417721518,rarely enjoy discussing deep topics like philosophy metaphysics,"['rarely', 'enjoy', 'discussing', 'topic', 'like', 'philosophy', 'metaphysics']"
Being around lots of people drains my energy; I value my alone time.,0.27272727272727265,0.6382978723404256,0.4126984126984127,0.6744186046511628,0.5443037974683543,around lots people drains energy value alone time,"['around', 'lot', 'people', 'drain', 'energy', 'value', 'alone', 'time']"
I often feel apprehensive when faced with a potential change in my life.,0.3181818181818182,0.6808510638297872,0.42857142857142855,0.5116279069767442,0.6962025316455696,often feel apprehensive faced potential change life,"['often', 'feel', 'apprehensive', 'faced', 'potential', 'change', 'life']"
Being respectful and understanding toward others is crucial in all interactions.,0.5909090909090908,0.5531914893617021,0.5714285714285714,0.8604651162790697,0.36708860759493667,respectful understanding toward others crucial interactions,"['respectful', 'understanding', 'toward', 'others', 'crucial', 'interaction']"
I love delving into the complexities of different subjects and ideas.,0.7272727272727273,0.6170212765957447,0.6190476190476191,0.5813953488372093,0.40506329113924044,love delving complexities different subjects ideas,"['love', 'delving', 'complexity', 'different', 'subject', 'idea']"
"My day needs to have a structured schedule, or I feel unproductive.",0.29545454545454547,0.8723404255319148,0.4444444444444444,0.5348837209302325,0.48101265822784806,day needs structured schedule feel unproductive,"['day', 'need', 'structured', 'schedule', 'feel', 'unproductive']"
I'm at my happiest when I'm surrounded by friends or meeting new people.,0.47727272727272724,0.4042553191489362,0.9047619047619048,0.6046511627906977,0.3417721518987341,im happiest im surrounded friends meeting new people,"['happiest', 'surrounded', 'friend', 'meeting', 'new', 'people']"
I often get anxious thinking about the work I have to do.,0.4545454545454544,0.7234042553191489,0.5079365079365079,0.627906976744186,0.6835443037974682,often get anxious thinking work,"['often', 'get', 'anxious', 'thinking', 'work']"
I prefer having a set routine every day and find comfort in familiarity.,0.20454545454545453,0.8085106382978724,0.38095238095238093,0.5581395348837209,0.5316455696202531,prefer set routine every day find comfort familiarity,"['prefer', 'set', 'routine', 'every', 'day', 'find', 'comfort', 'familiarity']"
I always try to understand people's feelings and viewpoints.,0.5454545454545454,0.5106382978723405,0.5238095238095237,0.8139534883720931,0.4556962025316455,always try understand peoples feelings viewpoints,"['always', 'try', 'understand', 'people', 'feeling', 'viewpoint']"
I don't usually enjoy abstract art or experimental music.,0.06818181818181818,0.6595744680851063,0.49206349206349204,0.5813953488372093,0.5063291139240506,dont usually enjoy abstract art experimental music,"['usually', 'enjoy', 'abstract', 'art', 'experimental', 'music']"
"Socializing always uplifts my spirits, even on a bad day.",0.3863636363636363,0.3404255319148936,0.9365079365079365,0.6511627906976744,0.39240506329113917,socializing always uplifts spirits even bad day,"['socializing', 'always', 'uplift', 'spirit', 'even', 'bad', 'day']"
"I often worry about things, even when I know it's irrational.",0.3636363636363636,0.5531914893617021,0.36507936507936506,0.4651162790697675,0.7594936708860758,often worry things even know irrational,"['often', 'worry', 'thing', 'even', 'know', 'irrational']"
I strive to create harmony in my surroundings and avoid conflict.,0.4090909090909091,0.6382978723404256,0.47619047619047616,0.8372093023255813,0.4683544303797468,strive create harmony surroundings avoid conflict,"['strive', 'create', 'harmony', 'surroundings', 'avoid', 'conflict']"
Learning new skills or picking up a new hobby is always exciting for me.,0.7727272727272727,0.4893617021276596,0.6666666666666666,0.627906976744186,0.3797468354430379,learning new skills picking new hobby always exciting,"['learning', 'new', 'skill', 'picking', 'new', 'hobby', 'always', 'exciting']"
"I keep my promises and am always punctual, as I believe it reflects my integrity.",0.24999999999999994,0.8936170212765958,0.5396825396825397,0.5116279069767442,0.430379746835443,keep promises always punctual believe reflects integrity,"['keep', 'promise', 'always', 'punctual', 'believe', 'reflects', 'integrity']"
I'm comfortable being the center of attention and enjoy entertaining others.,0.5227272727272727,0.3829787234042553,0.8571428571428572,0.5348837209302325,0.36708860759493667,im comfortable center attention enjoy entertaining others,"['comfortable', 'center', 'attention', 'enjoy', 'entertaining', 'others']"
"I dislike arguments and prefer to maintain peace, even if I have to compromise.",0.3181818181818182,0.5319148936170214,0.4603174603174603,0.8837209302325582,0.5189873417721518,dislike arguments prefer maintain peace even compromise,"['dislike', 'argument', 'prefer', 'maintain', 'peace', 'even', 'compromise']"
